SEX_LABEL,INCWAGE
Male,100000.0
Male,40000.0
Male,53000.0
Male,96000.0
Male,10000.0
Male,3900.0
Male,115000.0
Male,75000.0
Female,95000.0
Female,40000.0
Male,45000.0
Female,20300.0
Male,200000.0
Male,130000.0
Male,70000.0
Male,160000.0
Female,10500.0
Male,33000.0
Male,10000.0
Male,80000.0
Male,130000.0
Female,100000.0
Male,20000.0
Female,33000.0
Female,35000.0
Male,263000.0
Male,40000.0
Female,160000.0
Female,34500.0
Female,10000.0
Male,24000.0
Female,100000.0
Male,56000.0
Female,8000.0
Male,55000.0
Male,16000.0
Female,136000.0
Male,79000.0
Male,165000.0
Male,45000.0
Female,100000.0
Male,52000.0
Female,23400.0
Male,72000.0
Male,50000.0
Male,130000.0
Female,5000.0
Male,110000.0
Male,69000.0
Male,100000.0
Female,5000.0
Male,94000.0
Male,42900.0
Female,60000.0
Female,36000.0
Male,269000.0
Male,40000.0
Female,32000.0
Male,60000.0
Male,26000.0
Female,60000.0
Male,115000.0
Female,44000.0
Female,36000.0
Female,72000.0
Male,57000.0
Male,67000.0
Male,6000.0
Female,67000.0
Male,66000.0
Female,8000.0
Female,30000.0
Male,80000.0
Female,34000.0
Female,57000.0
Female,57000.0
Female,45800.0
Female,115000.0
Male,75000.0
Male,80000.0
Female,80000.0
Female,54000.0
Male,50000.0
Female,160000.0
Female,16000.0
Male,120000.0
Female,69000.0
Female,40000.0
Male,54000.0
Male,85000.0
Female,30000.0
Male,97000.0
Female,50000.0
Female,70000.0
Male,50000.0
Female,24000.0
Male,100000.0
Male,30000.0
Male,53000.0
Male,42600.0
Male,250000.0
Male,45000.0
Female,50000.0
Male,135000.0
Male,75000.0
Female,22500.0
Female,18000.0
Male,80000.0
Male,6000.0
Male,45000.0
Male,90000.0
Female,25000.0
Female,45000.0
Male,200000.0
Female,16000.0
Male,45800.0
Female,17000.0
Female,60000.0
Male,65000.0
Female,1000.0
Female,32400.0
Male,37400.0
Male,39600.0
Female,55000.0
Male,85000.0
Male,115000.0
Female,43200.0
Male,32000.0
Female,48000.0
Female,38000.0
Male,60000.0
Male,70000.0
Male,58000.0
Female,32000.0
Female,43100.0
Male,65000.0
Female,24000.0
Female,76000.0
Male,55000.0
Female,25000.0
Female,75000.0
Female,115000.0
Male,112000.0
Female,150000.0
Female,140000.0
Female,160000.0
Female,19500.0
Male,90000.0
Male,8000.0
Female,24000.0
Female,45000.0
Male,40000.0
Male,30000.0
Female,38000.0
Female,40000.0
Male,75000.0
Male,20000.0
Female,58000.0
Female,70000.0
Female,105000.0
Male,120000.0
Male,90000.0
Female,50000.0
Female,52000.0
Male,40000.0
Male,85000.0
Female,180000.0
Male,22100.0
Female,1000.0
Male,90000.0
Male,38900.0
Female,80000.0
Male,125000.0
Male,83000.0
Male,85000.0
Female,33600.0
Male,84000.0
Male,70000.0
Male,24000.0
Female,16000.0
Female,15200.0
Female,6000.0
Male,600.0
Male,38000.0
Male,30000.0
Female,31000.0
Male,150000.0
Female,30000.0
Female,100000.0
Male,40000.0
Female,35000.0
Female,35000.0
Female,90000.0
Male,95000.0
Female,44000.0
Female,55000.0
Female,91000.0
Male,60000.0
Female,52000.0
Male,202000.0
Female,29300.0
Female,31200.0
Female,15000.0
Male,64000.0
Female,450.0
Female,21000.0
Male,45000.0
Female,12000.0
Female,103000.0
Female,8500.0
Female,43800.0
Female,30000.0
Female,80000.0
Male,35000.0
Male,40000.0
Female,42000.0
Female,28000.0
Male,80000.0
Female,115000.0
Female,8000.0
Male,171000.0
Female,4800.0
Male,90000.0
Female,20000.0
Male,111000.0
Female,21600.0
Male,72000.0
Female,63000.0
Female,125000.0
Female,55000.0
Male,30000.0
Male,30000.0
Female,9000.0
Male,27900.0
Male,28000.0
Female,1000.0
Female,7000.0
Male,65000.0
Male,120000.0
Male,100000.0
Male,38600.0
Male,17000.0
Male,36000.0
Female,21400.0
Female,15000.0
Male,6300.0
Female,100000.0
Male,120000.0
Male,18000.0
Male,70000.0
Female,7000.0
Female,88000.0
Female,50000.0
Female,28000.0
Female,130000.0
Female,83000.0
Female,44000.0
Female,26000.0
Male,60000.0
Female,20000.0
Female,58000.0
Male,24000.0
Female,45000.0
Female,90000.0
Male,10000.0
Female,11000.0
Female,7200.0
Male,165000.0
Male,45000.0
Female,45000.0
Female,7500.0
Male,90000.0
Male,15000.0
Female,19000.0
Male,65000.0
Male,238000.0
Male,100000.0
Female,160000.0
Female,45000.0
Female,30000.0
Male,40000.0
Male,45000.0
Female,30000.0
Female,52000.0
Female,140000.0
Female,65000.0
Male,95000.0
Male,113000.0
Female,25600.0
Male,69000.0
Male,10900.0
Male,272000.0
Female,25000.0
Female,169000.0
Male,135000.0
Female,95000.0
Female,13200.0
Male,250000.0
Female,67000.0
Female,135000.0
Female,33000.0
Male,8000.0
Male,17500.0
Male,45000.0
Female,30000.0
Female,74000.0
Female,70000.0
Female,70000.0
Female,89000.0
Female,15000.0
Female,590.0
Female,86000.0
Female,20200.0
Male,75000.0
Male,80000.0
Female,1900.0
Female,102000.0
Male,60000.0
Female,30000.0
Female,32000.0
Female,40000.0
Male,60000.0
Male,20000.0
Female,20000.0
Female,80000.0
Female,40000.0
Female,18000.0
Female,40000.0
Male,60000.0
Female,4200.0
Male,90000.0
Female,7100.0
Male,76000.0
Male,40000.0
Female,680.0
Male,130000.0
Female,23000.0
Female,30000.0
Male,50000.0
Male,54000.0
Male,50000.0
Male,20000.0
Female,20000.0
Male,32000.0
Male,120000.0
Female,48000.0
Male,46000.0
Female,120000.0
Male,15000.0
Male,72000.0
Female,7500.0
Female,15600.0
Female,15000.0
Male,75000.0
Female,39000.0
Female,40000.0
Female,2900.0
Male,58000.0
Female,65000.0
Female,125000.0
Female,30000.0
Male,125000.0
Male,179000.0
Female,24900.0
Male,43000.0
Female,86000.0
Female,195000.0
Male,36000.0
Male,16000.0
Female,100000.0
Male,25000.0
Female,30000.0
Female,19600.0
Female,41000.0
Female,11000.0
Male,200000.0
Male,600.0
Female,8000.0
Female,500.0
Male,60000.0
Female,18000.0
Female,7000.0
Male,50000.0
Male,48000.0
Female,3400.0
Male,21000.0
Female,55000.0
Female,70000.0
Female,5000.0
Female,150000.0
Male,90000.0
Male,110000.0
Female,30000.0
Female,15700.0
Male,70000.0
Male,86000.0
Female,90000.0
Female,3000.0
Male,165000.0
Female,24000.0
Female,30000.0
Female,50000.0
Male,35400.0
Male,51000.0
Female,170000.0
Male,20000.0
Male,36000.0
Male,65000.0
Female,45000.0
Male,90000.0
Male,20000.0
Female,250000.0
Female,32000.0
Female,13000.0
Female,40000.0
Male,3000.0
Female,480.0
Male,85000.0
Female,135000.0
Female,3000.0
Male,40000.0
Female,80000.0
Male,65000.0
Male,7000.0
Female,4500.0
Female,2400.0
Female,880.0
Male,172000.0
Male,56000.0
Female,55000.0
Female,93000.0
Male,12000.0
Male,4000.0
Male,46000.0
Male,8000.0
Male,60000.0
Female,60000.0
Male,100000.0
Female,38000.0
Male,20000.0
Male,73000.0
Male,4000.0
Male,37700.0
Male,132000.0
Male,85000.0
Male,65000.0
Female,17000.0
Male,36000.0
Female,47800.0
Female,46000.0
Male,36000.0
Male,75000.0
Male,60000.0
Female,40000.0
Male,90000.0
Female,33000.0
Female,33000.0
Male,75000.0
Female,5900.0
Female,43600.0
Male,69000.0
Male,19500.0
Male,60.0
Male,6000.0
Female,22000.0
Female,45000.0
Male,150000.0
Male,40000.0
Female,40000.0
Male,70000.0
Female,65000.0
Male,6000.0
Female,38000.0
Male,70000.0
Female,50000.0
Male,71000.0
Female,100000.0
Male,60000.0
Male,70000.0
Female,34000.0
Female,20000.0
Male,35000.0
Female,130000.0
Male,115000.0
Male,84000.0
Female,55000.0
Male,75000.0
Female,13400.0
Female,53000.0
Male,48300.0
Male,44000.0
Female,30000.0
Female,50000.0
Male,190000.0
Male,160000.0
Male,85000.0
Male,64000.0
Male,12000.0
Male,95000.0
Male,20000.0
Male,138000.0
Male,170000.0
Male,40000.0
Male,58000.0
Female,300.0
Male,88000.0
Female,70000.0
Male,60000.0
Male,196000.0
Male,45000.0
Male,196000.0
Female,54000.0
Female,16200.0
Female,134000.0
Female,80000.0
Female,10000.0
Female,30000.0
Female,10000.0
Male,100000.0
Male,13900.0
Male,72000.0
Male,61000.0
Female,80000.0
Female,99000.0
Female,175000.0
Male,100000.0
Female,70000.0
Male,20000.0
Female,110000.0
Male,64000.0
Male,56000.0
Female,50000.0
Female,2400.0
Male,45000.0
Male,250000.0
Female,20000.0
Male,58000.0
Male,43000.0
Female,42000.0
Male,50000.0
Female,80000.0
Female,25000.0
Male,50000.0
Male,74000.0
Male,74000.0
Female,18000.0
Female,65000.0
Female,600.0
Male,70000.0
Female,31200.0
Male,185000.0
Female,100000.0
Male,30000.0
Female,1700.0
Male,12400.0
Male,140000.0
Female,21000.0
Female,26000.0
Female,20000.0
Male,100000.0
Female,27000.0
Male,145000.0
Male,31000.0
Female,56000.0
Male,5000.0
Female,38300.0
Female,1000.0
Male,100000.0
Male,150000.0
Female,16000.0
Female,90000.0
Female,38000.0
Female,95000.0
Male,70000.0
Male,36600.0
Female,250000.0
Female,35000.0
Male,75000.0
Male,30000.0
Male,10000.0
Male,94000.0
Female,320.0
Female,20000.0
Male,60000.0
Male,20000.0
Female,85000.0
Male,1300.0
Male,28000.0
Male,4000.0
Female,10000.0
Female,50000.0
Male,50000.0
Male,4000.0
Female,105000.0
Male,168000.0
Female,300000.0
Male,200000.0
Male,46500.0
Female,77000.0
Male,8000.0
Female,24000.0
Male,150000.0
Male,100000.0
Male,300.0
Female,62000.0
Male,1000.0
Male,30500.0
Female,25300.0
Male,40000.0
Female,10200.0
Male,50000.0
Male,56000.0
Male,150000.0
Female,61000.0
Male,11200.0
Male,100000.0
Female,36000.0
Male,27000.0
Female,70000.0
Female,15000.0
Male,5000.0
Female,44000.0
Male,20000.0
Male,41600.0
Male,75000.0
Male,90000.0
Male,14000.0
Female,43600.0
Male,54000.0
Male,100000.0
Male,80000.0
Male,127000.0
Male,145000.0
Female,32000.0
Female,80000.0
Female,150000.0
Female,120000.0
Female,6800.0
Male,170000.0
Male,35000.0
Male,75000.0
Female,20000.0
Male,130000.0
Female,150000.0
Female,98000.0
Male,60000.0
Male,7500.0
Female,150000.0
Male,85000.0
Female,41000.0
Female,17700.0
Male,16000.0
Female,60000.0
Male,43000.0
Male,24000.0
Male,50000.0
Female,30000.0
Female,55000.0
Male,4000.0
Female,19000.0
Female,57000.0
Female,30000.0
Female,65000.0
Female,1500.0
Female,17000.0
Male,70000.0
Female,61000.0
Male,40000.0
Female,170000.0
Female,42000.0
Male,107000.0
Male,52000.0
Female,80000.0
Male,30600.0
Male,6000.0
Female,30000.0
Male,140000.0
Female,12300.0
Male,84000.0
Male,77000.0
Female,11000.0
Female,40000.0
Male,12000.0
Male,63000.0
Female,60000.0
Male,63000.0
Female,40000.0
Female,28000.0
Female,39000.0
Female,41100.0
Female,52000.0
Male,5000.0
Female,35000.0
Female,250000.0
Female,13900.0
Male,100000.0
Female,100000.0
Male,100000.0
Male,169000.0
Male,41000.0
Female,27000.0
Male,67000.0
Female,10800.0
Male,39000.0
Female,20000.0
Female,250000.0
Male,145000.0
Female,26400.0
Female,30000.0
Male,70000.0
Female,19200.0
Male,52000.0
Male,73000.0
Male,50000.0
Female,20000.0
Male,52000.0
Female,120000.0
Male,110000.0
Male,65000.0
Female,13300.0
Female,36000.0
Female,36000.0
Male,55000.0
Female,60000.0
Female,53000.0
Male,69000.0
Male,161000.0
Male,5200.0
Female,14700.0
Female,60000.0
Male,25000.0
Female,3000.0
Male,60000.0
Male,65000.0
Male,60000.0
Female,70000.0
Female,35000.0
Male,100000.0
Female,65000.0
Female,54000.0
Male,65000.0
Female,30000.0
Female,42000.0
Male,90000.0
Female,20000.0
Male,65000.0
Female,30000.0
Male,29100.0
Female,100000.0
Male,120000.0
Male,19000.0
Female,100000.0
Male,40000.0
Female,90000.0
Female,30000.0
Male,100000.0
Female,120000.0
Male,34000.0
Male,63000.0
Male,20500.0
Female,1200.0
Female,28600.0
Male,24000.0
Male,50000.0
Female,15000.0
Female,60000.0
Female,14000.0
Male,120000.0
Female,32300.0
Male,65000.0
Female,9000.0
Female,63000.0
Male,144000.0
Male,41000.0
Male,20000.0
Female,60000.0
Male,19000.0
Female,160000.0
Male,65000.0
Female,50000.0
Male,44500.0
Female,1000.0
Female,98000.0
Male,50000.0
Male,68000.0
Female,81000.0
Female,5000.0
Male,25800.0
Male,40000.0
Male,3900.0
Female,7200.0
Male,20000.0
Male,1200.0
Female,5000.0
Male,3000.0
Male,130000.0
Male,60000.0
Female,26000.0
Female,42000.0
Female,110000.0
Male,140000.0
Female,70000.0
Male,68000.0
Female,20500.0
Male,76000.0
Female,13200.0
Female,32600.0
Male,34500.0
Male,79000.0
Male,30000.0
Female,4900.0
Female,7000.0
Female,57000.0
Male,275000.0
Male,45000.0
Female,25000.0
Male,80000.0
Female,184000.0
Female,65000.0
Female,60000.0
Male,51000.0
Female,68000.0
Male,50000.0
Male,95000.0
Male,30000.0
Female,27000.0
Female,800.0
Male,60000.0
Male,32000.0
Male,59000.0
Female,56000.0
Female,330.0
Female,25000.0
Male,4800.0
Male,28000.0
Male,90000.0
Female,20000.0
Female,150000.0
Female,20000.0
Female,100000.0
Female,9400.0
Female,45000.0
Male,18400.0
Male,28000.0
Female,116000.0
Female,76000.0
Female,55000.0
Female,9000.0
Male,2600.0
Male,106000.0
Female,70000.0
Male,70000.0
Female,35000.0
Male,88000.0
Female,48000.0
Female,65000.0
Female,120.0
Female,50000.0
Female,40000.0
Male,130000.0
Female,20000.0
Male,50000.0
Female,60000.0
Female,43000.0
Male,23000.0
Female,75000.0
Female,42000.0
Female,15600.0
Female,40000.0
Male,95000.0
Female,60000.0
Male,300.0
Female,250000.0
Female,67000.0
Female,70000.0
Male,70000.0
Female,100000.0
Male,19000.0
Male,45000.0
Male,110000.0
Female,18000.0
Female,40000.0
Male,70000.0
Female,93000.0
Female,40000.0
Male,65000.0
Female,85000.0
Female,26000.0
Male,110000.0
Female,75000.0
Male,108000.0
Male,78000.0
Male,36500.0
Male,50000.0
Female,140000.0
Female,106000.0
Male,225000.0
Male,70000.0
Female,65000.0
Male,150000.0
Female,9400.0
Female,26000.0
Female,72000.0
Female,65000.0
Female,100000.0
Male,80000.0
Female,140000.0
Male,125000.0
Female,55000.0
Male,58000.0
Female,70000.0
Male,68000.0
Male,3000.0
Female,15000.0
Female,75000.0
Female,39000.0
Male,40000.0
Male,23200.0
Male,90000.0
Female,13000.0
Male,189000.0
Male,60000.0
Male,48200.0
Male,90000.0
Male,59000.0
Female,58000.0
Male,150000.0
Male,85000.0
Male,50000.0
Male,200000.0
Female,12000.0
Female,30000.0
Male,31000.0
Female,70000.0
Female,90000.0
Male,101000.0
Male,18000.0
Male,135000.0
Male,89000.0
Male,50000.0
Female,44000.0
Female,4100.0
Female,42000.0
Female,20000.0
Female,140000.0
Female,12000.0
Female,25000.0
Female,750.0
Male,62000.0
Female,24000.0
Male,80000.0
Female,40000.0
Female,80000.0
Male,85000.0
Male,160000.0
Male,117000.0
Female,85000.0
Female,50000.0
Male,28800.0
Female,32000.0
Female,32000.0
Female,25000.0
Female,13500.0
Male,10900.0
Male,95000.0
Male,90000.0
Male,82000.0
Male,92000.0
Female,31200.0
Female,76000.0
Male,100000.0
Male,50000.0
Male,48900.0
Female,870.0
Female,110000.0
Female,50000.0
Female,77000.0
Female,25000.0
Male,28000.0
Male,85000.0
Male,35000.0
Female,100000.0
Female,60000.0
Male,116000.0
Female,72000.0
Female,22000.0
Female,60000.0
Male,48000.0
Female,70000.0
