OCC_GROUP,MAJOR_GROUP
0,Management
100,Management
200,Management
300,Management
400,Business & Financial Operations
500,Business & Financial Operations
600,Business & Financial Operations
700,Business & Financial Operations
800,Financial Specialists
900,Financial Specialists
1000,Computer & Mathematical
1100,Computer & Mathematical
1200,Computer & Mathematical
1300,Architecture & Engineering
1400,Architecture & Engineering
1500,"Life, Physical & Social Science"
1600,"Life, Physical & Social Science"
1700,"Life, Physical & Social Science"
1800,"Life, Physical & Social Science"
1900,"Life, Physical & Social Science"
2000,Community & Social Services
2100,Legal
2200,"Education, Training & Library"
2300,"Education, Training & Library"
2400,"Education, Training & Library"
2500,"Education, Training & Library"
2600,"Arts, Design, Entertainment & Media"
2700,"Arts, Design, Entertainment & Media"
2800,"Arts, Design, Entertainment & Media"
2900,"Arts, Design, Entertainment & Media"
3000,Healthcare Practitioners
3100,Healthcare Practitioners
3200,Healthcare Practitioners
3300,Healthcare Practitioners
3400,Healthcare Practitioners
3500,Healthcare Practitioners
3600,Healthcare Support
3700,Protective Service
3800,Protective Service
3900,Protective Service
4000,Food Preparation & Serving
4100,Food Preparation & Serving
4200,Building & Grounds Cleaning
4300,Personal Care & Service
4400,Personal Care & Service
4500,Personal Care & Service
4600,Personal Care & Service
4700,Sales & Related
4800,Sales & Related
4900,Sales & Related
5000,Office & Administrative Support
5100,Office & Administrative Support
5200,Office & Administrative Support
5300,Office & Administrative Support
5400,Office & Administrative Support
5500,Office & Administrative Support
5600,Office & Administrative Support
5700,Office & Administrative Support
5800,Office & Administrative Support
5900,Office & Administrative Support
6000,"Farming, Fishing & Forestry"
6100,"Farming, Fishing & Forestry"
6200,Construction & Extraction
6300,Construction & Extraction
6400,Construction & Extraction
6500,Construction & Extraction
6600,Construction & Extraction
6700,Construction & Extraction
6800,"Installation, Maintenance & Repair"
6900,"Installation, Maintenance & Repair"
7000,"Installation, Maintenance & Repair"
7100,"Installation, Maintenance & Repair"
7200,"Installation, Maintenance & Repair"
7300,"Installation, Maintenance & Repair"
7400,"Installation, Maintenance & Repair"
7500,"Installation, Maintenance & Repair"
7600,Production
7700,Production
7800,Production
7900,Production
8000,Production
8100,Production
8200,Production
8300,Production
8400,Production
8500,Production
8600,Production
8700,Production
8800,Production
8900,Transportation & Material Moving
9000,Transportation & Material Moving
9100,Transportation & Material Moving
9200,Transportation & Material Moving
9300,Transportation & Material Moving
9400,Transportation & Material Moving
9500,Transportation & Material Moving
9600,Transportation & Material Moving
9700,Transportation & Material Moving
9800,Military Specific
