AGE,SEX,predicted_wage
20,Male,28236.438812830864
22,Male,29035.953365296988
24,Male,42769.800410896496
26,Male,53303.068181130366
28,Male,61053.2168666996
30,Male,81272.36251324193
32,Male,81272.36251324193
34,Male,81272.36251324193
36,Male,82020.63551200539
38,Male,82020.63551200539
40,Male,82020.63551200539
42,Male,82020.63551200539
44,Male,82020.63551200539
46,Male,82020.63551200539
48,Male,82020.63551200539
50,Male,82020.63551200539
52,Male,82020.63551200539
54,Male,82020.63551200539
56,Male,82020.63551200539
58,Male,82020.63551200539
60,Male,82020.63551200539
62,Male,82020.63551200539
64,Male,82020.63551200539
20,Female,20530.64988859505
22,Female,22651.755134023653
24,Female,37579.74683255755
26,Female,48898.97090009511
28,Female,52022.17263573213
30,Female,60244.796362419685
32,Female,60244.796362419685
34,Female,60244.796362419685
36,Female,60244.796362419685
38,Female,60244.796362419685
40,Female,60244.796362419685
42,Female,60244.796362419685
44,Female,60244.796362419685
46,Female,60244.796362419685
48,Female,60244.796362419685
50,Female,60244.796362419685
52,Female,60244.796362419685
54,Female,60244.796362419685
56,Female,60244.796362419685
58,Female,60244.796362419685
60,Female,60244.796362419685
62,Female,60244.796362419685
64,Female,59838.265792123035
