STATE_CODE,cluster,pct_female,pct_male,weighted_workers
AK,0,28.7,71.3,42558.0
AK,1,46.2,53.8,188484.0
AK,2,49.6,50.4,95358.0
AK,3,12.1,87.9,4060.0
AL,0,27.4,72.6,198211.0
AL,1,49.8,50.2,1177794.0
AL,2,51.3,48.7,809246.0
AL,3,19.4,80.6,30024.0
AR,0,30.5,69.5,91789.0
AR,1,48.7,51.3,733561.0
AR,2,51.3,48.7,484231.0
AR,3,23.0,77.0,14634.0
AZ,0,31.1,68.9,407325.0
AZ,1,47.9,52.1,1857447.0
AZ,2,51.1,48.9,1111261.0
AZ,3,17.6,82.4,37556.0
CA,0,38.3,61.7,3222372.0
CA,1,48.8,51.2,8873840.0
CA,2,49.6,50.4,5507697.0
CA,3,25.9,74.1,305993.0
CO,0,33.7,66.3,509067.0
CO,1,47.7,52.3,1604009.0
CO,2,51.4,48.6,882121.0
CO,3,25.6,74.4,41303.0
CT,0,36.3,63.7,285750.0
CT,1,50.3,49.7,832297.0
CT,2,54.3,45.7,620816.0
CT,3,24.2,75.8,39612.0
DC,0,45.2,54.8,112415.0
DC,1,58.2,41.8,180760.0
DC,2,50.4,49.6,65443.0
DC,3,31.8,68.2,11525.0
DE,0,39.7,60.3,57596.0
DE,1,52.6,47.4,244552.0
DE,2,53.4,46.6,180240.0
DE,3,36.1,63.9,3598.0
FL,0,33.6,66.4,1129947.0
FL,1,49.2,50.8,5288778.0
FL,2,51.2,48.8,4010908.0
FL,3,20.7,79.3,125351.0
GA,0,34.8,65.2,652948.0
GA,1,51.2,48.8,2710126.0
GA,2,53.2,46.8,1778490.0
GA,3,23.7,76.3,56626.0
HI,0,36.5,63.5,73588.0
HI,1,47.8,52.2,334041.0
HI,2,54.0,46.0,260988.0
HI,3,33.8,66.2,8553.0
IA,0,30.7,69.3,120404.0
IA,1,49.0,51.0,859484.0
IA,2,50.7,49.3,571746.0
IA,3,23.3,76.7,11898.0
ID,0,27.3,72.7,94700.0
ID,1,46.9,53.1,499369.0
ID,2,51.8,48.2,293545.0
ID,3,10.5,89.5,11687.0
IL,0,35.9,64.1,874165.0
IL,1,50.5,49.5,3090888.0
IL,2,51.8,48.2,2085006.0
IL,3,25.7,74.3,70714.0
IN,0,30.3,69.7,285758.0
IN,1,49.4,50.6,1742200.0
IN,2,50.9,49.1,1184468.0
IN,3,22.8,77.2,34615.0
KS,0,31.3,68.7,140810.0
KS,1,49.0,51.0,773995.0
KS,2,50.5,49.5,493558.0
KS,3,24.8,75.2,16195.0
KY,0,34.1,65.9,163398.0
KY,1,48.4,51.6,1098061.0
KY,2,50.2,49.8,717224.0
KY,3,23.2,76.8,22608.0
LA,0,24.7,75.3,182117.0
LA,1,51.2,48.8,1051001.0
LA,2,53.9,46.1,685422.0
LA,3,22.3,77.7,24181.0
MA,0,37.4,62.6,691118.0
MA,1,51.3,48.7,1701906.0
MA,2,54.8,45.2,1138920.0
MA,3,23.2,76.8,60966.0
MD,0,40.6,59.4,623197.0
MD,1,51.3,48.7,1452749.0
MD,2,53.6,46.4,1010905.0
MD,3,24.5,75.5,33318.0
ME,0,36.5,63.5,69014.0
ME,1,51.0,49.0,314063.0
ME,2,53.9,46.1,262788.0
ME,3,28.9,71.1,7374.0
MI,0,30.0,70.0,486500.0
MI,1,48.9,51.1,2435321.0
MI,2,51.9,48.1,1633760.0
MI,3,23.7,76.3,60737.0
MN,0,34.1,65.9,378144.0
MN,1,49.8,50.2,1518861.0
MN,2,52.0,48.0,986191.0
MN,3,28.2,71.8,28889.0
MO,0,33.4,66.6,265884.0
MO,1,49.5,50.5,1597116.0
MO,2,52.2,47.8,1016544.0
MO,3,23.6,76.4,37665.0
MS,0,31.8,68.2,83607.0
MS,1,51.4,48.6,665413.0
MS,2,52.9,47.1,482822.0
MS,3,14.8,85.2,15250.0
MT,0,26.7,73.3,41452.0
MT,1,49.2,50.8,288682.0
MT,2,50.3,49.7,196089.0
MT,3,36.4,63.6,5904.0
NC,0,34.6,65.4,594770.0
NC,1,49.6,50.4,2657356.0
NC,2,52.2,47.8,1815073.0
NC,3,21.9,78.1,58012.0
ND,0,33.1,66.9,35713.0
ND,1,47.1,52.9,222950.0
ND,2,51.6,48.4,122779.0
ND,3,26.1,73.9,4427.0
NE,0,30.3,69.7,85840.0
NE,1,46.8,53.2,534580.0
NE,2,50.1,49.9,336130.0
NE,3,18.8,81.2,10561.0
NH,0,32.9,67.1,107207.0
NH,1,49.8,50.2,338569.0
NH,2,52.4,47.6,264489.0
NH,3,21.6,78.4,7536.0
NJ,0,36.0,64.0,858908.0
NJ,1,50.8,49.2,2090535.0
NJ,2,52.8,47.2,1598675.0
NJ,3,18.6,81.4,73321.0
NM,0,31.3,68.7,86404.0
NM,1,48.1,51.9,502920.0
NM,2,52.6,47.4,304382.0
NM,3,19.8,80.2,11563.0
NV,0,33.0,67.0,158288.0
NV,1,49.6,50.4,815531.0
NV,2,49.7,50.3,528641.0
NV,3,20.9,79.1,16092.0
NY,0,40.8,59.2,1441209.0
NY,1,51.0,49.0,4371412.0
NY,2,52.2,47.8,3154764.0
NY,3,28.2,71.8,182889.0
OH,0,32.6,67.4,545454.0
OH,1,49.7,50.3,2948815.0
OH,2,51.9,48.1,2036350.0
OH,3,18.7,81.3,64926.0
OK,0,28.1,71.9,141010.0
OK,1,48.1,51.9,997949.0
OK,2,50.7,49.3,621910.0
OK,3,26.9,73.1,20535.0
OR,0,36.3,63.7,270723.0
OR,1,49.4,50.6,1046023.0
OR,2,51.9,48.1,651780.0
OR,3,28.5,71.5,19246.0
PA,0,34.4,65.6,744816.0
PA,1,49.7,50.3,3065970.0
PA,2,52.6,47.4,2236238.0
PA,3,21.9,78.1,67325.0
RI,0,31.7,68.3,68972.0
RI,1,50.0,50.0,267343.0
RI,2,50.5,49.5,195894.0
RI,3,19.1,80.9,5989.0
SC,0,29.3,70.7,241853.0
SC,1,49.8,50.2,1281460.0
SC,2,53.4,46.6,908105.0
SC,3,22.4,77.6,26055.0
SD,0,26.6,73.4,26467.0
SD,1,48.7,51.3,242946.0
SD,2,49.9,50.1,167095.0
SD,3,19.8,80.2,6157.0
TN,0,31.6,68.4,312014.0
TN,1,49.3,50.7,1799993.0
TN,2,51.2,48.8,1168271.0
TN,3,21.2,78.8,35047.0
TX,0,29.4,70.6,1830581.0
TX,1,48.3,51.7,7817037.0
TX,2,50.8,49.2,4554216.0
TX,3,20.2,79.8,154857.0
UT,0,21.7,78.3,208541.0
UT,1,46.9,53.1,1006782.0
UT,2,49.6,50.4,477561.0
UT,3,13.2,86.8,18592.0
VA,0,36.7,63.3,766663.0
VA,1,49.6,50.4,2076619.0
VA,2,52.8,47.2,1369982.0
VA,3,21.7,78.3,50500.0
VT,0,35.1,64.9,33492.0
VT,1,49.7,50.3,156917.0
VT,2,52.3,47.7,128590.0
VT,3,14.6,85.4,4152.0
WA,0,34.8,65.2,731062.0
WA,1,49.2,50.8,1909069.0
WA,2,51.6,48.4,1094134.0
WA,3,21.4,78.6,69724.0
WI,0,32.2,67.8,263311.0
WI,1,49.6,50.4,1561682.0
WI,2,50.7,49.3,1077201.0
WI,3,22.2,77.8,31153.0
WV,0,27.7,72.3,56440.0
WV,1,48.8,51.2,390952.0
WV,2,50.5,49.5,283050.0
WV,3,26.0,74.0,9203.0
WY,0,24.0,76.0,25739.0
WY,1,47.3,52.7,148969.0
WY,2,50.3,49.7,98822.0
WY,3,30.2,69.8,2824.0
