STATE_CODE,cluster,career_stage,sex,weighted
AK,0,Early (<35),Female,190.0
AK,0,Early (<35),Male,1157.0
AK,0,Late (55+),Female,1616.0
AK,0,Late (55+),Male,6958.0
AK,0,Mid (35-54),Female,10429.0
AK,0,Mid (35-54),Male,22208.0
AK,1,Early (<35),Female,55974.0
AK,1,Early (<35),Male,70268.0
AK,1,Mid (35-54),Female,31151.0
AK,1,Mid (35-54),Male,31091.0
AK,2,Late (55+),Female,26520.0
AK,2,Late (55+),Male,26760.0
AK,2,Mid (35-54),Female,20788.0
AK,2,Mid (35-54),Male,21290.0
AK,3,Early (<35),Female,218.0
AK,3,Late (55+),Female,29.0
AK,3,Late (55+),Male,2290.0
AK,3,Mid (35-54),Female,243.0
AK,3,Mid (35-54),Male,1280.0
AL,0,Early (<35),Female,1397.0
AL,0,Early (<35),Male,6319.0
AL,0,Late (55+),Female,10885.0
AL,0,Late (55+),Male,33603.0
AL,0,Mid (35-54),Female,42055.0
AL,0,Mid (35-54),Male,103952.0
AL,1,Early (<35),Female,375498.0
AL,1,Early (<35),Male,400336.0
AL,1,Mid (35-54),Female,210519.0
AL,1,Mid (35-54),Male,191441.0
AL,2,Late (55+),Female,226935.0
AL,2,Late (55+),Male,231458.0
AL,2,Mid (35-54),Female,188031.0
AL,2,Mid (35-54),Male,162822.0
AL,3,Early (<35),Female,470.0
AL,3,Early (<35),Male,888.0
AL,3,Late (55+),Female,1791.0
AL,3,Late (55+),Male,9081.0
AL,3,Mid (35-54),Female,3553.0
AL,3,Mid (35-54),Male,14241.0
AR,0,Early (<35),Female,1324.0
AR,0,Early (<35),Male,4121.0
AR,0,Late (55+),Female,5984.0
AR,0,Late (55+),Male,10199.0
AR,0,Mid (35-54),Female,20724.0
AR,0,Mid (35-54),Male,49437.0
AR,1,Early (<35),Female,228830.0
AR,1,Early (<35),Male,251200.0
AR,1,Mid (35-54),Female,128732.0
AR,1,Mid (35-54),Male,124799.0
AR,2,Late (55+),Female,133000.0
AR,2,Late (55+),Male,129024.0
AR,2,Mid (35-54),Female,115460.0
AR,2,Mid (35-54),Male,106747.0
AR,3,Early (<35),Female,834.0
AR,3,Early (<35),Male,507.0
AR,3,Late (55+),Female,889.0
AR,3,Late (55+),Male,3928.0
AR,3,Mid (35-54),Female,1640.0
AR,3,Mid (35-54),Male,6836.0
AZ,0,Early (<35),Female,6760.0
AZ,0,Early (<35),Male,17873.0
AZ,0,Late (55+),Female,23744.0
AZ,0,Late (55+),Male,61481.0
AZ,0,Mid (35-54),Female,96355.0
AZ,0,Mid (35-54),Male,201112.0
AZ,1,Early (<35),Female,602113.0
AZ,1,Early (<35),Male,674899.0
AZ,1,Mid (35-54),Female,287994.0
AZ,1,Mid (35-54),Male,292441.0
AZ,2,Late (55+),Female,318831.0
AZ,2,Late (55+),Male,315694.0
AZ,2,Mid (35-54),Female,249473.0
AZ,2,Mid (35-54),Male,227263.0
AZ,3,Early (<35),Female,785.0
AZ,3,Early (<35),Male,2788.0
AZ,3,Late (55+),Female,1811.0
AZ,3,Late (55+),Male,10300.0
AZ,3,Mid (35-54),Female,3996.0
AZ,3,Mid (35-54),Male,17876.0
CA,0,Early (<35),Female,143174.0
CA,0,Early (<35),Male,232989.0
CA,0,Late (55+),Female,209137.0
CA,0,Late (55+),Male,389457.0
CA,0,Mid (35-54),Female,882623.0
CA,0,Mid (35-54),Male,1364992.0
CA,1,Early (<35),Female,2901088.0
CA,1,Early (<35),Male,3051586.0
CA,1,Mid (35-54),Female,1425375.0
CA,1,Mid (35-54),Male,1495791.0
CA,2,Late (55+),Female,1545607.0
CA,2,Late (55+),Male,1617440.0
CA,2,Mid (35-54),Female,1188819.0
CA,2,Mid (35-54),Male,1155831.0
CA,3,Early (<35),Female,10299.0
CA,3,Early (<35),Male,21542.0
CA,3,Late (55+),Female,19792.0
CA,3,Late (55+),Male,61585.0
CA,3,Mid (35-54),Female,49031.0
CA,3,Mid (35-54),Male,143744.0
CO,0,Early (<35),Female,14759.0
CO,0,Early (<35),Male,29212.0
CO,0,Late (55+),Female,25089.0
CO,0,Late (55+),Male,65314.0
